League_Name,Team,Scored,1st half,2nd half,Avg. minute
Poland - 1. Liga,Arka Gdynia,63,54.0%,46.0%,46
Poland - 1. Liga,Wisla Plock,58,46.6%,53.4%,51
Poland - 1. Liga,Miedz Legnica,56,53.6%,46.4%,44
Poland - 1. Liga,Znicz Pruszkow,52,46.2%,53.8%,51
Poland - 1. Liga,Ruch Chorzow,50,56.0%,44.0%,45
Poland - 1. Liga,LKS Lodz,50,46.0%,54.0%,52
Poland - 1. Liga,Gornik Leczna,47,31.9%,68.1%,59
Poland - 1. Liga,Tychy,47,55.3%,44.7%,43
Poland - 1. Liga,Polonia Warszaw,46,56.5%,43.5%,46
Poland - 1. Liga,Stal Rzeszow,42,42.9%,57.1%,52
Poland - 1. Liga,Pogon Siedlce,38,26.3%,73.7%,64
Poland - 1. Liga,Chrobry Glogow,37,51.4%,48.6%,46
Poland - 1. Liga,Odra Opole,31,58.1%,41.9%,42
Poland - 1. Liga,K. Kolobrzeg,29,37.9%,62.1%,55
Poland - 1. Liga,Stalowa Wola,27,55.6%,44.4%,45
Poland - 1. Liga,Warta Poznan,22,31.8%,68.2%,55
Portugal - Liga Portugal,,Scored,1st half,2nd half,Avg. minute
Portugal - Liga Portugal,Sporting CP,88,45.5%,54.5%,50
Portugal - Liga Portugal,Benfica,84,48.8%,51.2%,48
Portugal - Liga Portugal,FC Porto,65,38.5%,61.5%,51
Portugal - Liga Portugal,Sporting Braga,55,49.1%,50.9%,50
Portugal - Liga Portugal,Estoril,48,50.0%,50.0%,47
Portugal - Liga Portugal,Guimaraes,47,36.2%,63.8%,51
Portugal - Liga Portugal,Famalicao,44,43.2%,56.8%,51
Portugal - Liga Portugal,Moreirense,42,47.6%,52.4%,47
Portugal - Liga Portugal,Rio Ave,39,48.7%,51.3%,50
Portugal - Liga Portugal,Casa Pia,39,48.7%,51.3%,50
Portugal - Liga Portugal,Santa Clara,36,50.0%,50.0%,46
Portugal - Liga Portugal,Arouca,35,42.9%,57.1%,52
Portugal - Liga Portugal,Gil Vicente,34,44.1%,55.9%,50
Portugal - Liga Portugal,Nacional,32,53.1%,46.9%,48
Portugal - Liga Portugal,AVS,25,40.0%,60.0%,57
Portugal - Liga Portugal,Farense,25,44.0%,56.0%,55
Portugal - Liga Portugal,Estrela Amadora,24,41.7%,58.3%,52
Portugal - Liga Portugal,Boavista,24,33.3%,66.7%,61
Portugal - Liga Portugal 2,,Scored,1st half,2nd half,Avg. minute
Portugal - Liga Portugal 2,Tondela,58,46.6%,53.4%,50
Portugal - Liga Portugal 2,Alverca,58,56.9%,43.1%,42
Portugal - Liga Portugal 2,Benfica B,53,45.3%,54.7%,50
Portugal - Liga Portugal 2,Vizela,50,44.0%,56.0%,50
Portugal - Liga Portugal 2,Uniao de Leiria,49,42.9%,57.1%,53
Portugal - Liga Portugal 2,Torreense,49,42.9%,57.1%,54
Portugal - Liga Portugal 2,Penafiel,45,57.8%,42.2%,41
Portugal - Liga Portugal 2,Academico Viseu,43,65.1%,34.9%,39
Portugal - Liga Portugal 2,Felgueiras,43,39.5%,60.5%,54
Portugal - Liga Portugal 2,Maritimo,42,38.1%,61.9%,52
Portugal - Liga Portugal 2,Chaves,40,35.0%,65.0%,52
Portugal - Liga Portugal 2,Portimonense,38,42.1%,57.9%,50
Portugal - Liga Portugal 2,Leixoes,37,54.1%,45.9%,44
Portugal - Liga Portugal 2,FC Porto B,36,38.9%,61.1%,48
Portugal - Liga Portugal 2,Feirense,35,48.6%,51.4%,49
Portugal - Liga Portugal 2,Pacos Ferreira,34,61.8%,38.2%,42
Portugal - Liga Portugal 2,Oliveirense,30,46.7%,53.3%,48
Portugal - Liga Portugal 2,Mafra,29,48.3%,51.7%,46
Scotland - Premiership,,Scored,1st half,2nd half,Avg. minute
Scotland - Premiership,Celtic,112,47.3%,52.7%,52
Scotland - Premiership,Rangers,80,41.3%,58.8%,50
Scotland - Premiership,Hibernian,62,53.2%,46.8%,48
Scotland - Premiership,Dundee FC,57,56.1%,43.9%,45
Scotland - Premiership,St. Mirren,53,54.7%,45.3%,46
Scotland - Premiership,Hearts,52,40.4%,59.6%,51
Scotland - Premiership,Aberdeen,48,39.6%,60.4%,55
Scotland - Premiership,Motherwell,46,56.5%,43.5%,47
Scotland - Premiership,Kilmarnock,45,33.3%,66.7%,55
Scotland - Premiership,Dundee Utd,45,33.3%,66.7%,56
Scotland - Premiership,St. Johnstone,38,34.2%,65.8%,55
Scotland - Premiership,Ross County,37,40.5%,59.5%,53
Scotland - Championship,,Scored,1st half,2nd half,Avg. minute
Scotland - Championship,Falkirk,72,50.0%,50.0%,45
Scotland - Championship,Ayr Utd,57,49.1%,50.9%,49
Scotland - Championship,Livingston,55,49.1%,50.9%,49
Scotland - Championship,Raith Rovers,47,59.6%,40.4%,45
Scotland - Championship,Partick Thistle,43,44.2%,55.8%,49
Scotland - Championship,Greenock Morton,42,50.0%,50.0%,49
Scotland - Championship,Hamilton,38,52.6%,47.4%,46
Scotland - Championship,Queens Park,36,47.2%,52.8%,45
Scotland - Championship,Airdrieonians,34,47.1%,52.9%,50
Scotland - Championship,Dunfermline,28,28.6%,71.4%,57
Serbia - Super Liga,,Scored,1st half,2nd half,Avg. minute
Serbia - Super Liga,Red Star,123,41.5%,58.5%,51
Serbia - Super Liga,Partizan,73,52.1%,47.9%,46
Serbia - Super Liga,Novi Pazar,60,50.0%,50.0%,49
Serbia - Super Liga,Radnicki 1923,60,41.7%,58.3%,51
Serbia - Super Liga,Backa Topola,59,37.3%,62.7%,51
Serbia - Super Liga,Vojvodina,57,45.6%,54.4%,52
Serbia - Super Liga,OFK Beograd,53,39.6%,60.4%,54
Serbia - Super Liga,Radnicki Nis,50,44.0%,56.0%,51
Serbia - Super Liga,Z. Pancevo,49,49.0%,51.0%,47
Serbia - Super Liga,IMT N. Beograd,49,53.1%,46.9%,52
Serbia - Super Liga,Cukaricki,47,57.4%,42.6%,45
Serbia - Super Liga,Mladost Lucani,38,47.4%,52.6%,46
Serbia - Super Liga,S. Subotica,35,37.1%,62.9%,54
Serbia - Super Liga,Napredak,35,45.7%,54.3%,52
Serbia - Super Liga,T. Odzaci,33,48.5%,51.5%,44
Serbia - Super Liga,Jedinstvo U.,32,59.4%,40.6%,44
Singapore - Premier League,,Scored,1st half,2nd half,Avg. minute
Singapore - Premier League,Geylang,97,39.2%,60.8%,54
Singapore - Premier League,Lion City,96,46.9%,53.1%,48
Singapore - Premier League,Tampines Rovers,84,38.1%,61.9%,49
Singapore - Premier League,Khalsa,84,40.5%,59.5%,53
Singapore - Premier League,Hougang,61,50.8%,49.2%,49
Singapore - Premier League,A. Niigata (S),55,40.0%,60.0%,55
Singapore - Premier League,DPMM FC,54,53.7%,46.3%,45
Singapore - Premier League,Young Lions,47,44.7%,55.3%,50
Singapore - Premier League,Tanjong Pagar,35,51.4%,48.6%,52
Slovenia - Prva Liga,,Scored,1st half,2nd half,Avg. minute
Slovenia - Prva Liga,NK Celje,76,40.8%,59.2%,54
Slovenia - Prva Liga,Maribor,64,46.9%,53.1%,50
Slovenia - Prva Liga,NK Olimpija,63,38.1%,61.9%,50
Slovenia - Prva Liga,Koper,60,45.0%,55.0%,51
Slovenia - Prva Liga,Bravo,52,57.7%,42.3%,44
Slovenia - Prva Liga,Primorje,41,51.2%,48.8%,47
Slovenia - Prva Liga,Radomlje,37,37.8%,62.2%,57
Slovenia - Prva Liga,Mura,37,56.8%,43.2%,45
Slovenia - Prva Liga,Domzale,35,40.0%,60.0%,49
Slovenia - Prva Liga,Nafta,33,30.3%,69.7%,56
Slovakia - Fortuna Liga,,Scored,1st half,2nd half,Avg. minute
Slovakia - Fortuna Liga,S. Bratislava,74,32.4%,67.6%,57
Slovakia - Fortuna Liga,Zilina,55,47.3%,52.7%,48
Slovakia - Fortuna Liga,Z. Michalovce,48,43.8%,56.3%,49
Slovakia - Fortuna Liga,DAC Streda,48,52.1%,47.9%,47
Slovakia - Fortuna Liga,Spartak Trnava,46,45.7%,54.3%,51
Slovakia - Fortuna Liga,FC Kosice,45,53.3%,46.7%,48
Slovakia - Fortuna Liga,Podbrezova,40,40.0%,60.0%,55
Slovakia - Fortuna Liga,Trencin,37,48.6%,51.4%,49
Slovakia - Fortuna Liga,Skalica,36,27.8%,72.2%,61
Slovakia - Fortuna Liga,Komarno,36,47.2%,52.8%,52
Slovakia - Fortuna Liga,Ruzomberok,35,45.7%,54.3%,51
Slovakia - Fortuna Liga,Banska Bystrica,35,54.3%,45.7%,45
South Africa - Premier Division ,,Scored,1st half,2nd half,Avg. minute
South Africa - Premier Division ,Mamelodi S.,65,50.8%,49.2%,46
South Africa - Premier Division ,Orlando Pirates,43,34.9%,65.1%,53
South Africa - Premier Division ,Sekhukhune,39,38.5%,61.5%,54
South Africa - Premier Division ,Stellenbosch,34,52.9%,47.1%,46
South Africa - Premier Division ,TS Galaxy,30,60.0%,40.0%,48
South Africa - Premier Division ,AmaZulu,29,48.3%,51.7%,48
South Africa - Premier Division ,Marumo G.,26,50.0%,50.0%,43
South Africa - Premier Division ,Kaizer Chiefs,25,64.0%,36.0%,40
South Africa - Premier Division ,Chippa Utd,22,63.6%,36.4%,41
South Africa - Premier Division ,Golden Arrows,20,50.0%,50.0%,44
South Africa - Premier Division ,Richards Bay,19,21.1%,78.9%,59
South Africa - Premier Division ,Polokwane,19,52.6%,47.4%,52
South Africa - Premier Division ,Magesi,19,63.2%,36.8%,38
South Africa - Premier Division ,SuperSport Utd,18,50.0%,50.0%,49
South Africa - Premier Division ,Cape Town City,15,33.3%,66.7%,50
South Korea - K League 1,,Scored,1st half,2nd half,Avg. minute
South Korea - K League 1,Jeonbuk Motors,36,50.0%,50.0%,51
South Korea - K League 1,Daejeon Citizen,28,42.9%,57.1%,52
South Korea - K League 1,Gimcheon Sangmu,27,44.4%,55.6%,54
South Korea - K League 1,Pohang Steelers,26,34.6%,65.4%,55
South Korea - K League 1,Anyang,24,37.5%,62.5%,55
South Korea - K League 1,Ulsan,23,39.1%,60.9%,54
South Korea - K League 1,Seoul,23,34.8%,65.2%,57
South Korea - K League 1,Gwangju,22,50.0%,50.0%,50
South Korea - K League 1,Jeju Utd,21,33.3%,66.7%,54
South Korea - K League 1,Gangwon,20,40.0%,60.0%,57
South Korea - K League 1,Daegu,20,25.0%,75.0%,62
South Korea - K League 1,Suwon City,19,42.1%,57.9%,56
South Korea - K League 2,,Scored,1st half,2nd half,Avg. minute
South Korea - K League 2,Suwon Bluewings,37,45.9%,54.1%,50
South Korea - K League 2,Incheon Utd,35,40.0%,60.0%,52
South Korea - K League 2,Seoul E-Land,29,51.7%,48.3%,47
South Korea - K League 2,Bucheon FC,29,44.8%,55.2%,54
South Korea - K League 2,Busan IPark,26,53.8%,46.2%,48
South Korea - K League 2,Jeonnam,25,44.0%,56.0%,52
South Korea - K League 2,Asan,22,59.1%,40.9%,47
South Korea - K League 2,Cheongju,20,55.0%,45.0%,47
South Korea - K League 2,Hwaseong,17,41.2%,58.8%,51
South Korea - K League 2,Gyeongnam,17,29.4%,70.6%,58
South Korea - K League 2,Gimpo,17,41.2%,58.8%,54
South Korea - K League 2,Seongnam,15,46.7%,53.3%,51
South Korea - K League 2,Cheonan City,14,42.9%,57.1%,56
South Korea - K League 2,Ansan Greeners,11,27.3%,72.7%,60
Spain - La Liga,,Scored,1st half,2nd half,Avg. minute
Spain - La Liga,FC Barcelona,102,45.1%,54.9%,50
Spain - La Liga,Real Madrid,78,44.9%,55.1%,51
Spain - La Liga,Villarreal,71,53.5%,46.5%,48
Spain - La Liga,Atletico Madrid,68,39.7%,60.3%,57
Spain - La Liga,Celta Vigo,59,42.4%,57.6%,54
Spain - La Liga,Real Betis,57,43.9%,56.1%,51
Spain - La Liga,Athletic Bilbao,54,44.4%,55.6%,53
Spain - La Liga,Osasuna,48,47.9%,52.1%,49
Spain - La Liga,Valencia,44,47.7%,52.3%,47
Spain - La Liga,Girona,44,43.2%,56.8%,52
Spain - La Liga,Sevilla FC,42,47.6%,52.4%,51
Spain - La Liga,Rayo Vallecano,41,48.8%,51.2%,46
Spain - La Liga,Las Palmas,40,27.5%,72.5%,59
Spain - La Liga,Espanyol,40,37.5%,62.5%,53
Spain - La Liga,Leganes,39,56.4%,43.6%,47
Spain - La Liga,Alaves,38,42.1%,57.9%,49
Spain - La Liga,Real Sociedad,35,45.7%,54.3%,50
Spain - La Liga,Mallorca,35,40.0%,60.0%,51
Spain - La Liga,Getafe,34,35.3%,64.7%,56
Spain - La Liga,Valladolid,26,34.6%,65.4%,51
Spain - La Liga 2,,Scored,1st half,2nd half,Avg. minute
Spain - La Liga 2,Almeria,72,37.5%,62.5%,52
Spain - La Liga 2,Levante,69,40.6%,59.4%,55
Spain - La Liga 2,Granada,65,43.1%,56.9%,52
Spain - La Liga 2,Castellon,65,47.7%,52.3%,48
Spain - La Liga 2,Racing,65,44.6%,55.4%,51
Spain - La Liga 2,Cordoba,59,37.3%,62.7%,56
Spain - La Liga 2,Elche,59,45.8%,54.2%,53
Spain - La Liga 2,Mirandes,59,40.7%,59.3%,53
Spain - La Liga 2,Huesca,58,37.9%,62.1%,56
Spain - La Liga 2,Albacete,57,49.1%,50.9%,50
Spain - La Liga 2,Sporting Gijon,57,40.4%,59.6%,56
Spain - La Liga 2,Deportivo,56,37.5%,62.5%,53
Spain - La Liga 2,Real Oviedo,56,41.1%,58.9%,55
Spain - La Liga 2,Real Zaragoza,56,30.4%,69.6%,59
Spain - La Liga 2,Cadiz,55,49.1%,50.9%,52
Spain - La Liga 2,Eibar,44,52.3%,47.7%,43
Spain - La Liga 2,Eldense,44,40.9%,59.1%,52
Spain - La Liga 2,Malaga,42,38.1%,61.9%,55
Spain - La Liga 2,Burgos,41,41.5%,58.5%,57
Spain - La Liga 2,Tenerife,35,40.0%,60.0%,53
Spain - La Liga 2,Cartagena,33,51.5%,48.5%,45
Spain - La Liga 2,Racing Ferrol,22,40.9%,59.1%,51
Sweden - Allsvenskan,,Scored,1st half,2nd half,Avg. minute
Sweden - Allsvenskan,Mjallby,28,57.1%,42.9%,46
Sweden - Allsvenskan,Hammarby,25,44.0%,56.0%,54
Sweden - Allsvenskan,Elfsborg,25,40.0%,60.0%,49
Sweden - Allsvenskan,Norrkoping,21,47.6%,52.4%,48
Sweden - Allsvenskan,AIK,21,38.1%,61.9%,57
Sweden - Allsvenskan,Malmo FF,20,55.0%,45.0%,45
Sweden - Allsvenskan,Sirius,19,47.4%,52.6%,46
Sweden - Allsvenskan,GAIS,18,44.4%,55.6%,49
Sweden - Allsvenskan,Hacken,18,22.2%,77.8%,66
Sweden - Allsvenskan,Degerfors,17,29.4%,70.6%,57
Sweden - Allsvenskan,IFK Goteborg,16,56.3%,43.8%,47
Sweden - Allsvenskan,Brommapojkarna,16,31.3%,68.8%,52
Sweden - Allsvenskan,Oster,12,33.3%,66.7%,59
Sweden - Allsvenskan,Varnamo,11,18.2%,81.8%,59
Sweden - Allsvenskan,Halmstad,11,54.5%,45.5%,45
Sweden - Allsvenskan,Djurgarden,9,55.6%,44.4%,43
Sweden - Superettan,,Scored,1st half,2nd half,Avg. minute
Sweden - Superettan,Orgryte,31,41.9%,58.1%,51
Sweden - Superettan,Utsikten,25,44.0%,56.0%,55
Sweden - Superettan,Kalmar,25,56.0%,44.0%,44
Sweden - Superettan,Varberg BoIS,24,54.2%,45.8%,42
Sweden - Superettan,Falkenberg,24,50.0%,50.0%,46
Sweden - Superettan,Landskrona,23,21.7%,78.3%,60
Sweden - Superettan,Oddevold,22,36.4%,63.6%,50
Sweden - Superettan,Vasteras,21,52.4%,47.6%,47
Sweden - Superettan,Brage,19,31.6%,68.4%,59
Sweden - Superettan,Helsingborg,19,47.4%,52.6%,48
Sweden - Superettan,Sandviken,18,44.4%,55.6%,52
Sweden - Superettan,Ostersunds,17,47.1%,52.9%,50
Sweden - Superettan,GIF Sundsvall,17,35.3%,64.7%,59
Sweden - Superettan,Orebro,14,64.3%,35.7%,35
Sweden - Superettan,Umea,10,50.0%,50.0%,59
Sweden - Superettan,Trelleborg,9,44.4%,55.6%,47
Switzerland - Super League,,Scored,1st half,2nd half,Avg. minute
Switzerland - Super League,FC Basel,91,48.4%,51.6%,47
Switzerland - Super League,Luzern,66,33.3%,66.7%,56
Switzerland - Super League,Servette,64,42.2%,57.8%,50
Switzerland - Super League,Lausanne Sport,62,46.8%,53.2%,48
Switzerland - Super League,BSC Young Boys,60,43.3%,56.7%,50
Switzerland - Super League,FC Zurich,56,42.9%,57.1%,54
Switzerland - Super League,Lugano,55,43.6%,56.4%,52
Switzerland - Super League,St. Gallen,52,44.2%,55.8%,47
Switzerland - Super League,Sion,47,51.1%,48.9%,45
Switzerland - Super League,Winterthur,43,41.9%,58.1%,52
Switzerland - Super League,Grasshopper,43,41.9%,58.1%,50
Switzerland - Super League,Yverdon,40,45.0%,55.0%,50
Switzerland - Challenge League,,Scored,1st half,2nd half,Avg. minute
Switzerland - Challenge League,Thun,70,38.6%,61.4%,54
Switzerland - Challenge League,Aarau,63,47.6%,52.4%,48
Switzerland - Challenge League,Etoile Carouge,58,55.2%,44.8%,51
Switzerland - Challenge League,Wil,57,47.4%,52.6%,50
Switzerland - Challenge League,Neuchatel Xamax,57,40.4%,59.6%,49
Switzerland - Challenge League,Lausanne Ouchy,54,44.4%,55.6%,49
Switzerland - Challenge League,Vaduz,48,50.0%,50.0%,46
Switzerland - Challenge League,Bellinzona,46,43.5%,56.5%,51
Switzerland - Challenge League,Stade Nyonnais,44,50.0%,50.0%,49
Switzerland - Challenge League,Schaffhausen,40,42.5%,57.5%,51
Thailand - Thai League 1,,Scored,1st half,2nd half,Avg. minute
Thailand - Thai League 1,Buriram Utd,92,37.0%,63.0%,55
Thailand - Thai League 1,Ratchaburi,65,53.8%,46.2%,46
Thailand - Thai League 1,Bangkok Utd,63,49.2%,50.8%,51
Thailand - Thai League 1,Port FC,52,36.5%,63.5%,55
Thailand - Thai League 1,Prachuap,49,40.8%,59.2%,53
Thailand - Thai League 1,Sukhothai,47,40.4%,59.6%,54
Thailand - Thai League 1,Pathum Utd,47,48.9%,51.1%,51
Thailand - Thai League 1,Muang Thong Utd,46,39.1%,60.9%,55
Thailand - Thai League 1,Rayong,41,43.9%,56.1%,52
Thailand - Thai League 1,N. Bua Pitchaya,37,48.6%,51.4%,51
Thailand - Thai League 1,Uthai Thani,37,43.2%,56.8%,55
Thailand - Thai League 1,Lamphun Warrior,36,52.8%,47.2%,44
Thailand - Thai League 1,N. Ratchasima,36,44.4%,55.6%,52
Thailand - Thai League 1,Chiangrai Utd,33,42.4%,57.6%,55
Thailand - Thai League 1,Nakhon Pathom,30,46.7%,53.3%,51
Thailand - Thai League 1,Khon Kaen Utd,21,52.4%,47.6%,42
Turkey - Super Lig,,Scored,1st half,2nd half,Avg. minute
Turkey - Super Lig,Fenerbahce,90,41.1%,58.9%,54
Turkey - Super Lig,Galatasaray,88,50.0%,50.0%,46
Turkey - Super Lig,Kasimpasa,62,37.1%,62.9%,54
Turkey - Super Lig,Basaksehir,60,41.7%,58.3%,54
Turkey - Super Lig,Besiktas,59,54.2%,45.8%,50
Turkey - Super Lig,Goztepe,59,50.8%,49.2%,50
Turkey - Super Lig,Trabzonspor,58,43.1%,56.9%,50
Turkey - Super Lig,Samsunspor,55,38.2%,61.8%,52
Turkey - Super Lig,Rizespor,52,32.7%,67.3%,58
Turkey - Super Lig,Eyupspor,52,48.1%,51.9%,47
Turkey - Super Lig,Hatayspor,47,59.6%,40.4%,42
Turkey - Super Lig,Kayserispor,45,40.0%,60.0%,48
Turkey - Super Lig,Konyaspor,45,44.4%,55.6%,51
Turkey - Super Lig,Gaziantep,45,44.4%,55.6%,53
Turkey - Super Lig,Sivasspor,44,36.4%,63.6%,53
Turkey - Super Lig,Alanyaspor,43,53.5%,46.5%,46
Turkey - Super Lig,Antalyaspor,37,43.2%,56.8%,56
Turkey - Super Lig,Adana Demirspor,34,50.0%,50.0%,52
Turkey - Super Lig,Bodrumspor,26,46.2%,53.8%,50
UAE - Pro League,,Scored,1st half,2nd half,Avg. minute
UAE - Pro League,Shabab Al Ahli,57,40.4%,59.6%,56
UAE - Pro League,Al Ain,56,48.2%,51.8%,49
UAE - Pro League,Al Wasl,51,51.0%,49.0%,48
UAE - Pro League,Al Wahda,51,54.9%,45.1%,51
UAE - Pro League,Al Nasr,45,40.0%,60.0%,55
UAE - Pro League,Al Jazira,45,60.0%,40.0%,41
UAE - Pro League,Al Sharjah,44,36.4%,63.6%,58
UAE - Pro League,Khorfakkan,41,43.9%,56.1%,48
UAE - Pro League,Ajman,40,30.0%,70.0%,61
UAE - Pro League,Ittihad Kalba,39,41.0%,59.0%,52
UAE - Pro League,Bani Yas,30,53.3%,46.7%,42
UAE - Pro League,Al Bataeh,30,53.3%,46.7%,48
UAE - Pro League,Dibba Al Hisn,29,44.8%,55.2%,55
UAE - Pro League,Al Urooba,24,33.3%,66.7%,62
Ukraine - Premier League,,Scored,1st half,2nd half,Avg. minute
Ukraine - Premier League,Shakhtar,69,39.1%,60.9%,52
Ukraine - Premier League,Dynamo Kyiv,61,55.7%,44.3%,45
Ukraine - Premier League,Oleksandria,46,58.7%,41.3%,45
Ukraine - Premier League,Karpaty Lviv,42,52.4%,47.6%,47
Ukraine - Premier League,Polessya,38,44.7%,55.3%,51
Ukraine - Premier League,Zorya Luhansk,34,44.1%,55.9%,48
Ukraine - Premier League,Kryvbas KR,34,44.1%,55.9%,52
Ukraine - Premier League,Veres,33,45.5%,54.5%,47
Ukraine - Premier League,Rukh Lviv,30,30.0%,70.0%,55
Ukraine - Premier League,Kolos Kovalivka,27,44.4%,55.6%,48
Ukraine - Premier League,LNZ Cherkasy,25,28.0%,72.0%,58
Ukraine - Premier League,Vorskla Poltava,24,29.2%,70.8%,60
Ukraine - Premier League,Inhulets,21,71.4%,28.6%,42
Ukraine - Premier League,Chornomorets,20,40.0%,60.0%,57
Ukraine - Premier League,Obolon,19,36.8%,63.2%,51
Ukraine - Premier League,Livyi Bereh,18,38.9%,61.1%,53
USA - MLS,,Scored,1st half,2nd half,Avg. minute
USA - MLS,San Diego,41,43.9%,56.1%,56
USA - MLS,SJ Earthquakes,40,47.5%,52.5%,53
USA - MLS,Chicago Fire,38,57.9%,42.1%,47
USA - MLS,Orlando City,37,56.8%,43.2%,45
USA - MLS,Nashville SC,36,47.2%,52.8%,48
USA - MLS,Inter Miami,36,52.8%,47.2%,46
USA - MLS,Vancouver,35,48.6%,51.4%,47
USA - MLS,Philadelphia,35,37.1%,62.9%,53
USA - MLS,Columbus Crew,33,54.5%,45.5%,44
USA - MLS,Minnesota Utd,33,51.5%,48.5%,46
USA - MLS,New York RB,32,59.4%,40.6%,45
USA - MLS,Charlotte,32,40.6%,59.4%,51
USA - MLS,Cincinnati,31,45.2%,54.8%,53
USA - MLS,Sporting KC,31,35.5%,64.5%,56
USA - MLS,Los Angeles FC,30,40.0%,60.0%,56
USA - MLS,Portland,28,39.3%,60.7%,50
USA - MLS,Seattle,27,40.7%,59.3%,52
USA - MLS,Dallas,26,34.6%,65.4%,55
USA - MLS,Houston Dynamo,25,40.0%,60.0%,54
USA - MLS,New England,24,50.0%,50.0%,50
USA - MLS,New York City,24,25.0%,75.0%,54
USA - MLS,Colorado Rapids,23,52.2%,47.8%,48
USA - MLS,Atlanta Utd,22,36.4%,63.6%,57
USA - MLS,Toronto,22,36.4%,63.6%,53
USA - MLS,LA Galaxy,19,47.4%,52.6%,51
USA - MLS,Real Salt Lake,19,68.4%,31.6%,37
USA - MLS,St. Louis City,19,52.6%,47.4%,51
USA - MLS,CF Montreal,17,41.2%,58.8%,48
USA - MLS,DC United,17,64.7%,35.3%,44
USA - MLS,Austin,15,46.7%,53.3%,45
USL Championship,,Scored,1st half,2nd half,Avg. minute
USL Championship,Charleston,32,59.4%,40.6%,42
USL Championship,Louisville City,28,42.9%,57.1%,50
USL Championship,Loudoun Utd,24,45.8%,54.2%,52
USL Championship,Phoenix Rising,24,45.8%,54.2%,51
USL Championship,El Paso,23,60.9%,39.1%,41
USL Championship,New Mexico,21,38.1%,61.9%,55
USL Championship,San Antonio,20,40.0%,60.0%,49
USL Championship,Indy Eleven,20,60.0%,40.0%,45
USL Championship,North Carolina,19,52.6%,47.4%,55
USL Championship,Detroit City,19,52.6%,47.4%,47
USL Championship,Colorado S.,18,50.0%,50.0%,49
USL Championship,Orange County,17,41.2%,58.8%,52
USL Championship,Sacramento R.,17,41.2%,58.8%,52
USL Championship,Monterey Bay,16,31.3%,68.8%,53
USL Championship,Tampa Bay,16,31.3%,68.8%,63
USL Championship,Birmingham L.,15,33.3%,66.7%,59
USL Championship,FC Tulsa,15,46.7%,53.3%,55
USL Championship,Lexington,15,53.3%,46.7%,42
USL Championship,Oakland Roots,14,50.0%,50.0%,50
USL Championship,Hartford A.,13,53.8%,46.2%,46
USL Championship,Miami FC,13,69.2%,30.8%,36
USL Championship,Rhode Island,13,69.2%,30.8%,47
USL Championship,Pittsburgh,11,54.5%,45.5%,48
USL Championship,Las Vegas L.,10,20.0%,80.0%,62
